GNames	Control_1	Control_2	Control_3	IL6_1	IL6_2	IL6_3
AAR2	12.7742789011634	13.1568276980865	15.0963735345147	13.5124794379745	14.2612911489067	14.3732019354767
AARD	0	0	0.0415740029757369	0	0	0.0283874178897509
AARS	33.1006562223239	32.5247466038834	36.3303015841991	34.7000667085187	33.5570766290434	39.4996148820654
AARS2	4.79239147374711	4.35987862875839	4.522837696049	4.46382909452961	3.76827796150276	4.77277858691598
AARSD1	0.566083619483396	0.922805275919268	1.07091552108042	1.14713600144803	0.775870607585483	0.824987428345311
AASDH	5.23470878453509	6.11930045432966	5.17571310998026	5.50216745348559	6.40122019148429	6.28605714589009
AASDHPPT	7.84910318404208	11.1121135316918	7.62795620296359	7.79723066912913	10.7455654558303	7.5841422415312
AASS	0.225096848097791	0.207854560192265	0.109189136561908	0.188549957197256	0.2540722536455	0.114027054677374
AATBC	2.85017345943865	0.997875545074636	0.793535461586881	1.68108074084895	0.870663799369633	0.70383230788043
AATK	1.34623122309957	0.0441740839869931	0.46137621945444	0.921642024801347	0.0668527518080977	0.252028260053276
AATK-AS1	0	0	0.0239768901265489	0	0	0
ABAT	7.72978359680146	8.517181872447	3.17148126194123	6.48255238602346	8.3283694446565	2.76293026725383
ABCA1	17.7768345299472	15.8980524365955	14.0242574657893	19.6834154968746	12.6972055050394	16.3135673827346
ABCA10	0.491176524124866	0.578279676751248	0.410995170754895	0.612000250956344	0.583442963554941	0.528731309624024
